active_sessions,crc_errors_per_second,buffer_memory_utilization_percent,unplanned_restarts_last_24h,dropped_packets_due_to_buffer_full_last_hour,target
3184,0.021749,34.3,0,15,0
2109,0.007802,2.3,0,33,0
341,0.010396,27.2,0,80,0
2485,0.053226,92.4,0,92,1
4368,0.019682,13.6,0,165,1
771,0.013685,43.6,0,89,0
263,0.007039,11.8,0,26,0
564,0.010433,41.7,0,43,0
3142,0.006984,83.9,0,40,0
4692,0.006769,62.3,0,4,0
4895,0.001885,73.7,1,111,0
2542,0.003267,34.9,0,17,0
4898,0.00173,94.4,0,70,0
2455,0.002177,70.9,0,105,0
4378,0.072719,55.7,1,37,1
4824,0.001662,42.6,0,43,0
2657,0.003137,91.9,0,74,0
645,0.00893,57.6,2,21,0
4819,0.009421,70.6,0,12,0
3935,0.001672,41.7,1,33,0
693,0.015785,22.4,0,48,0
4939,0.015381,72.4,1,69,0
3904,0.045571,69.9,0,55,1
1559,0.038583,56.1,0,75,1
3593,0.027804,62.4,1,4,0
2701,0.017468,20.8,1,1,0
2544,0.011967,79.4,2,33,0
2772,0.000858,94.8,0,50,0
4300,0.005417,89.1,0,32,0
116,0.008194,32.1,1,12,0
3291,0.002075,40.6,1,25,0
492,0.005946,80.8,0,106,0
524,0.009189,59.5,1,2,0
671,0.003966,54.8,0,95,0
3731,0.015184,92.7,1,8,0
1220,0.018354,53.6,2,25,0
341,0.00391,51.5,0,34,0
3997,0.018242,4.2,0,36,0
4195,0.001093,6.9,0,2,0
2379,0.018185,0.7,0,55,0
888,0.001658,91.3,1,40,0
814,0.000866,40.8,0,54,0
4954,0.044954,57.4,1,128,1
2949,0.006385,84.5,0,21,0
875,0.043164,75.2,0,121,1
4126,0.004513,61.0,1,8,0
2347,0.003385,29.7,0,104,0
178,0.006946,83.4,0,29,0
4026,0.006087,16.6,0,74,0
955,0.004222,5.3,0,71,0
2248,0.011833,19.2,1,45,0
1131,0.014253,26.8,0,27,0
3371,0.019172,28.2,2,28,0
3676,0.036066,67.1,0,6,0
4282,0.003101,21.8,1,70,0
3556,0.012591,67.7,0,23,0
3606,0.005013,9.1,0,70,0
507,0.011304,14.7,0,26,0
2811,0.006462,50.9,1,43,0
3188,0.050789,92.2,0,7,0
1768,0.013053,86.0,1,45,0
247,0.064367,100.0,0,163,1
4427,0.018016,65.0,0,21,0
3997,0.02332,67.6,1,25,0
2050,0.016843,62.5,1,13,0
465,0.006146,62.3,1,26,0
1774,0.002901,14.7,1,71,0
4631,0.038695,62.2,0,134,1
4594,0.000204,38.6,0,44,0
2646,0.007423,44.3,0,150,0
662,0.007033,52.4,0,21,0
3662,0.00745,12.8,0,34,0
2589,0.036509,35.9,2,12,0
872,0.024242,6.3,0,1,0
2137,0.001764,98.0,1,17,0
3523,0.004603,11.9,0,25,0
2667,0.005516,25.9,0,28,0
1673,0.004471,89.1,0,17,0
3794,0.016019,48.3,2,27,0
3391,0.007424,13.6,0,56,0
1346,0.008489,38.4,0,28,0
3819,0.019174,11.6,2,76,0
3939,0.016395,20.0,1,57,0
459,0.001418,5.2,0,23,0
2476,0.012515,43.8,1,40,0
3109,0.018896,86.9,0,187,1
3093,0.003491,58.6,1,55,0
1062,0.000513,60.6,0,7,0
3732,0.00668,20.1,0,60,0
1927,0.004392,34.4,0,51,0
1713,0.002897,84.5,0,38,0
1740,0.011864,8.8,0,44,0
2316,0.036207,94.1,2,73,1
4412,0.002808,48.4,0,64,0
477,0.039623,92.7,2,125,1
4314,0.018888,31.8,1,19,0
4385,0.0001,33.9,1,20,0
469,0.027664,75.2,1,27,0
2296,0.009878,78.5,1,207,0
3847,0.003884,23.0,0,76,0
751,0.045999,100.0,1,110,1
869,9e-05,8.4,1,44,0
2521,0.002685,6.9,2,11,0
880,0.001482,59.6,0,11,0
1816,0.009472,72.3,1,5,0
4083,0.001822,96.1,2,14,0
1411,0.007521,40.5,2,54,0
3459,0.008919,2.5,1,8,0
622,0.029719,65.5,0,129,1
621,0.000357,29.0,0,76,0
4978,0.031282,48.3,1,103,1
2420,0.000267,48.8,0,9,0
1035,0.053388,19.8,0,112,1
2330,0.003827,48.6,3,27,0
4140,0.015911,42.6,0,80,0
4683,0.005652,71.3,0,51,0
3797,0.006033,64.6,0,26,0
2937,0.007193,18.5,1,50,0
4183,0.012484,20.6,0,17,0
2561,0.003195,25.1,0,97,0
3343,0.001296,17.9,0,21,0
3459,0.008121,65.7,0,17,0
785,0.00396,99.4,0,44,0
2260,0.030902,78.2,0,115,1
4088,0.0331,67.1,0,39,1
4166,0.006815,41.0,0,29,0
1667,0.009683,31.3,0,34,0
138,0.007857,91.1,1,8,0
2644,0.013463,96.9,1,28,0
4975,0.01224,49.7,0,38,0
1356,0.00764,29.0,0,11,0
3090,0.01136,77.0,0,37,0
2296,0.035989,22.6,0,138,1
3568,0.024603,84.0,1,94,1
2808,0.005323,81.9,1,15,0
401,0.01445,12.5,4,54,0
746,0.008736,97.7,1,14,0
4858,0.000737,98.6,1,109,0
1859,0.022267,93.7,0,26,0
4451,0.022251,60.2,1,61,1
697,0.040406,39.3,0,86,1
761,0.014221,58.2,0,33,0
4430,0.0306,42.0,1,57,0
1468,0.000557,20.6,1,36,0
2681,0.009085,42.4,0,48,0
3968,0.005583,66.4,0,5,0
3637,0.004014,7.1,1,49,0
4965,0.000947,33.3,0,49,0
4408,0.00827,1.8,0,44,0
4658,0.006521,74.9,0,30,0
382,0.001104,64.1,0,46,0
3778,0.00948,6.3,0,43,0
1586,0.047497,100.0,0,86,1
4182,0.014579,2.3,0,44,0
4283,0.023578,59.0,0,26,0
560,0.029029,90.4,2,33,1
2425,0.030592,78.8,0,32,0
3854,0.020057,3.4,1,53,0
2568,0.003517,90.6,1,47,0
1824,0.001735,91.8,1,27,0
1476,0.005716,56.1,0,52,0
2843,0.00514,48.2,2,34,0
614,0.042107,12.8,1,34,1
802,0.008756,56.2,1,43,0
1753,0.013862,40.9,0,27,0
2166,0.007131,77.3,1,73,0
122,0.001107,40.4,0,22,0
2560,0.01954,68.4,0,45,0
1404,0.003707,10.1,0,22,0
3400,0.062386,22.5,1,73,1
461,0.001254,14.0,1,14,0
3827,0.031761,4.6,0,53,0
1384,0.000954,54.1,0,19,0
614,0.002627,79.4,1,24,0
548,0.000477,61.0,0,54,0
1955,0.012212,57.5,0,20,0
3662,0.018991,68.1,1,17,0
2620,0.005693,34.0,1,88,0
3181,0.076344,41.7,0,68,1
1528,0.008923,31.4,0,103,0
4067,0.009943,71.2,0,56,0
1022,0.01867,16.2,0,41,0
3237,0.003521,1.3,1,13,0
2259,0.004374,59.6,0,11,0
2647,0.023639,94.2,0,13,0
3079,0.023123,60.9,0,67,0
2381,0.0375,78.3,0,17,0
2749,0.023211,67.3,1,39,0
413,0.001362,49.7,1,20,0
2713,0.017357,71.8,0,80,0
3183,0.005274,82.4,0,10,0
2356,0.046887,22.5,0,53,0
1137,0.006392,33.6,0,126,0
3589,0.008071,22.4,0,21,0
2734,0.007545,45.2,0,68,0
4083,0.003882,88.5,1,74,0
1878,0.00078,34.5,1,45,0
3995,0.0226,37.4,1,63,0
1224,0.016229,86.0,0,42,0
797,0.04602,65.6,1,92,1
2279,0.014995,53.5,0,25,0
1504,0.009831,86.1,0,12,0
1143,0.005262,49.1,0,29,0
2029,0.002931,68.2,4,11,0
1113,0.019642,8.6,0,35,0
326,0.012046,17.9,1,12,0
1928,0.007935,40.4,0,65,0
2123,0.009405,49.5,0,47,0
2552,0.000955,96.6,1,5,0
2185,0.006423,97.1,1,24,0
4383,0.002153,85.1,0,45,0
1180,0.002337,31.6,2,77,0
2420,0.010827,96.4,0,19,0
3290,0.02422,68.9,0,7,0
2730,0.005171,39.3,1,20,0
2663,0.002329,70.2,0,22,0
3392,0.010462,1.7,1,20,0
4721,0.020494,14.6,0,25,0
3686,0.013796,83.0,3,29,0
4531,0.048452,76.7,2,95,1
3047,0.007691,36.4,1,74,0
4059,0.013938,50.1,1,108,0
2913,0.001509,90.5,1,24,0
2683,0.004281,63.2,1,60,0
261,0.019607,46.7,2,134,1
693,0.00716,12.0,0,4,0
3359,0.061382,41.1,1,56,1
4255,0.066888,100.0,1,56,1
3062,0.001445,43.7,1,23,0
3988,0.001897,47.2,0,62,0
3490,0.004426,49.9,1,28,0
4601,0.003435,88.4,0,10,0
763,0.009539,60.4,1,21,0
1232,0.023307,69.4,1,45,0
641,0.032779,38.9,0,11,0
3074,0.010602,2.9,0,61,0
967,0.048584,100.0,0,121,1
2166,0.024921,100.0,2,74,1
531,0.002336,94.9,0,19,0
4935,0.019619,100.0,1,113,1
4378,0.008099,81.5,0,28,0
1306,0.013566,68.5,0,33,0
2628,0.002483,84.5,0,20,0
1269,0.004594,60.1,0,38,0
930,0.004526,13.4,0,114,0
1751,0.03205,39.1,0,77,0
1236,0.005869,97.1,1,21,0
2910,0.031493,49.5,0,104,1
575,0.013895,86.8,0,53,0
2910,0.003086,9.3,1,70,0
1426,0.008483,33.4,0,26,0
1119,0.071583,46.0,1,74,1
1936,0.006447,5.2,2,61,0
4356,0.029026,11.9,0,58,0
2548,0.002414,19.3,0,33,0
4393,0.03744,95.3,1,31,1
1383,0.022206,6.3,1,29,0
759,0.018818,29.9,0,41,0
2110,0.063624,14.8,1,108,1
498,0.011375,69.6,0,35,0
1833,0.027597,62.0,1,29,0
2225,0.017542,64.5,0,33,0
2271,0.018606,37.4,1,25,0
174,0.00842,20.8,0,59,0
4797,0.004819,72.0,1,25,0
3571,0.027266,81.1,2,1,0
936,0.035789,27.7,0,83,1
599,0.00774,48.7,1,20,0
237,0.005908,24.9,0,35,0
2197,0.034017,28.1,0,74,1
3796,0.006358,73.4,0,24,0
1985,0.000492,53.8,0,33,0
2857,0.021375,21.6,1,60,0
4020,0.005877,31.0,1,87,0
2000,0.056831,100.0,1,122,1
2710,0.001499,84.9,2,8,0
4086,0.012963,93.1,0,92,1
1549,0.002814,46.0,1,62,0
646,0.012194,62.4,1,72,0
4776,0.001045,37.7,0,20,0
2103,0.023957,7.8,0,6,0
2196,0.002421,40.1,0,39,0
803,0.002289,59.4,0,39,0
2503,0.002003,28.7,0,128,0
1725,0.000141,84.8,0,15,0
3431,0.014776,15.1,0,17,0
4833,0.020797,36.7,0,31,0
3078,0.009523,12.5,1,33,0
4836,0.002085,40.5,2,38,0
2939,0.003359,4.0,0,37,0
3484,0.006461,27.3,2,28,0
2759,0.030867,40.1,1,17,0
1961,0.002842,47.8,0,28,0
2956,0.013154,54.4,0,33,0
785,0.005788,27.5,0,38,0
4383,0.003536,52.3,2,36,0
1719,0.053679,62.9,0,68,1
4743,0.000739,31.6,0,29,0
1531,0.016029,83.0,0,17,0
975,0.002788,54.6,0,20,0
4813,0.012925,33.2,0,57,0
2561,0.024753,100.0,0,89,1
1465,0.079496,99.2,0,63,1
1343,0.002145,98.3,2,13,0
262,0.021434,69.2,1,59,0
2074,0.01658,37.8,0,29,0
3391,0.034377,28.1,2,22,0
369,0.006499,66.3,0,11,0
731,0.012997,98.1,1,1,0
1005,0.004632,62.7,0,113,0
3571,0.002038,88.2,1,13,0
3353,0.005853,32.9,0,82,0
2114,0.001812,40.7,0,8,0
1741,0.040199,90.6,2,0,0
304,0.001012,75.7,0,16,0
681,0.044556,100.0,0,164,1
940,0.009847,77.5,0,31,0
1819,0.007724,44.9,0,8,0
2743,0.010853,53.1,0,43,0
2397,0.018026,100.0,0,98,1
974,0.008097,55.2,1,32,0
789,0.003386,25.5,0,4,0
4100,0.059205,49.7,0,80,1
3241,0.014358,51.6,1,7,0
1522,0.035941,9.7,0,19,0
771,0.000383,74.4,2,11,0
1271,0.003357,10.9,0,11,0
3826,0.002174,40.5,0,25,0
1043,0.000112,80.5,1,4,0
1549,0.029357,55.5,0,103,1
3837,0.011356,84.2,3,62,0
2639,0.002628,34.2,1,48,0
4059,0.007113,95.8,0,32,0
4360,0.021876,20.9,1,24,0
2461,0.011834,3.8,0,3,0
3752,0.005019,87.2,0,12,0
3770,0.036304,84.2,0,78,1
1853,0.006083,23.2,0,13,0
2452,0.045426,100.0,0,118,1
2038,0.010051,50.2,0,75,0
470,0.004528,95.1,0,13,0
4579,0.01913,50.5,0,17,0
2031,0.014129,47.2,0,50,0
524,0.009429,44.9,0,23,0
4824,0.004529,33.5,1,32,0
994,0.002356,53.4,0,28,0
697,0.014968,45.3,0,52,0
3162,0.006663,3.7,1,8,0
2436,0.002546,26.0,0,26,0
4788,0.002171,21.3,2,18,0
1787,0.001808,86.7,0,20,0
672,0.015013,59.9,1,8,0
2190,0.002601,76.4,2,7,0
3769,0.007479,95.7,0,13,0
4372,0.006007,64.4,1,57,0
4724,0.008666,98.3,0,86,0
1733,0.020968,31.2,0,40,0
1617,0.02023,18.6,1,17,0
4393,0.005998,40.3,0,36,0
2757,0.000155,47.1,0,86,0
3748,0.005559,89.5,0,19,0
3688,0.019536,68.5,2,76,1
1637,0.04453,40.1,2,54,1
3237,0.055471,89.3,2,88,1
197,0.001673,50.6,0,33,0
3315,0.0104,16.2,0,9,0
4630,0.037983,71.3,1,115,1
4832,0.034079,99.1,1,131,1
3850,0.004141,84.3,0,34,0
3257,0.012375,58.7,0,28,0
4783,0.00049,37.7,2,97,0
443,0.00524,8.7,0,32,0
4766,0.012209,47.0,0,61,0
710,0.002573,75.2,0,41,0
1827,0.036841,50.0,0,108,1
2390,0.05673,37.5,2,90,1
1954,0.008857,93.1,0,49,0
2708,0.004363,82.2,3,26,0
2179,0.006587,63.8,0,56,0
2424,0.009097,13.7,0,39,0
4727,0.006395,14.5,1,77,0
1277,0.011984,10.3,0,11,0
1191,0.046365,74.1,1,54,1
2891,0.012843,24.1,1,55,1
1849,0.002407,84.3,0,81,0
2775,5.8e-05,99.3,0,20,0
881,0.00358,36.6,0,26,0
3148,0.01382,45.4,1,74,0
2205,0.015807,71.2,1,16,0
3967,0.002262,93.7,0,45,0
4642,0.072742,100.0,2,64,1
2213,0.031852,12.2,2,93,1
4070,0.024887,16.9,1,53,0
2091,0.012268,75.5,0,18,0
1167,0.012817,68.9,1,26,0
1677,0.000889,13.3,0,25,0
1111,0.002484,50.2,0,36,0
2374,8.9e-05,78.1,1,26,0
4969,0.012592,21.9,0,42,0
1914,0.037974,94.4,1,55,1
2526,0.015448,5.3,2,21,0
4502,0.004139,78.2,0,60,0
4974,0.017111,61.6,1,9,0
2651,0.001401,31.5,1,31,0
3757,0.016589,85.0,0,95,1
107,0.024508,85.9,0,95,1
2655,0.005251,93.4,0,3,0
575,0.004288,36.8,0,42,0
2311,0.014424,68.6,1,48,0
584,0.00102,60.3,0,40,0
4754,0.004327,52.5,0,38,0
2385,0.018155,89.0,1,36,0
4663,0.000691,0.3,0,90,0
3625,0.077535,37.9,0,77,1
3439,0.079797,66.2,1,112,1
2922,0.000927,17.8,0,22,0
3024,0.024036,97.5,1,114,1
358,0.004659,64.8,0,35,0
382,0.029642,58.2,0,159,1
1998,0.009062,81.5,1,10,0
4235,0.010339,45.1,0,2,0
3076,0.014168,55.9,0,46,0
2367,0.001255,0.3,1,41,0
3300,0.01791,36.6,0,82,0
712,0.012229,13.9,2,44,0
787,0.008612,69.0,0,9,0
3790,0.022049,47.9,0,16,0
712,0.01205,30.2,0,12,0
2407,0.002253,46.8,0,40,0
3113,0.005617,21.0,1,21,0
1881,0.006813,92.5,0,14,0
2691,0.000568,5.4,2,39,0
2796,0.030931,86.5,1,53,0
4058,0.001376,51.1,0,18,0
674,0.056263,74.2,0,149,1
2010,0.007057,30.3,0,66,0
3704,0.00026,96.7,0,5,0
769,0.025869,28.2,0,21,0
4464,0.019094,58.9,0,5,0
1383,0.050003,100.0,1,149,1
1023,0.0026,88.1,0,45,0
1225,0.046821,62.3,0,79,1
1629,0.029323,100.0,0,119,1
1694,0.002949,70.1,0,18,0
346,0.007066,20.9,1,43,0
3811,0.055412,49.4,0,74,1
1660,0.037799,43.0,0,45,1
2500,0.022066,34.4,1,8,0
2343,0.010523,76.0,0,5,0
3964,0.006448,58.4,2,130,0
2039,0.019283,3.8,0,21,0
3169,0.006375,87.7,0,31,0
326,0.020297,29.7,0,9,0
3647,0.003447,99.7,1,81,0
364,0.001379,95.4,0,34,0
1495,0.019332,94.1,0,29,0
3657,0.008853,81.1,0,55,0
745,0.021991,22.1,1,21,0
3090,0.027778,53.3,0,20,0
1999,0.000551,22.4,1,34,0
2604,0.006951,26.0,0,79,0
2872,0.004699,61.1,0,8,0
1254,0.009831,4.1,0,11,0
687,0.015779,96.9,0,37,0
4671,0.04292,100.0,0,102,1
1921,0.008137,38.1,0,63,0
1085,0.012335,51.5,0,57,0
4179,0.001444,46.6,0,1,0
3448,0.040533,97.6,1,99,1
3931,0.027045,79.4,1,79,1
1341,0.029865,27.8,0,20,0
289,0.004148,44.7,2,56,0
1080,0.001145,42.9,1,36,0
1798,0.029234,100.0,0,76,1
1815,0.000897,17.5,1,7,0
2693,0.034909,9.0,1,6,0
4236,0.000395,88.1,1,60,0
4533,0.014004,89.7,1,14,0
1198,0.007447,87.2,0,20,0
2426,0.004598,51.1,0,13,0
3347,0.000681,66.0,1,13,0
995,0.041106,63.8,0,121,1
1774,0.053799,21.9,0,121,1
3009,0.003297,59.6,0,39,0
1030,0.024104,1.4,1,49,0
4484,0.003626,32.5,0,13,0
823,0.005973,93.2,1,67,0
3040,0.007847,30.4,1,7,0
1189,0.001056,94.0,0,53,0
4678,0.026906,25.0,0,37,0
1035,0.004693,31.5,0,13,0
2395,0.030027,76.8,1,85,1
255,0.052652,90.4,1,142,1
1170,0.009168,50.1,0,53,0
2058,0.007208,88.2,1,64,0
2601,0.011859,4.0,1,21,0
4319,0.000571,92.2,0,18,0
3930,0.003348,19.6,1,36,0
954,0.017105,88.4,0,7,0
739,0.000833,40.1,1,16,0
2338,0.040073,94.7,1,85,1
1702,0.000964,67.2,0,48,0
541,0.017985,17.6,0,33,0
4728,0.022614,100.0,0,92,1
1436,0.009473,24.6,0,52,0
3800,0.014211,30.1,0,169,1
1048,0.000685,81.4,1,27,0
3473,0.002433,10.6,0,79,0
559,0.001368,22.2,2,35,0
4746,0.003746,50.4,1,72,0
492,0.007223,83.0,0,0,0
4038,0.008886,14.7,2,39,0
1887,0.0156,54.8,0,4,0
2357,0.010678,71.1,0,22,0
1238,0.009384,86.1,0,65,0
3908,0.005307,93.6,1,20,0
4841,0.006421,78.5,0,53,0
2554,0.005353,65.3,0,39,0
1566,0.035137,51.3,1,116,1
3774,0.014695,22.2,2,53,1
1477,5.7e-05,71.0,1,49,0
2697,0.010536,99.3,0,17,0
241,0.002262,73.7,0,59,0
2759,0.022083,1.7,0,32,0
4696,0.019593,49.6,0,11,0
939,0.000798,61.5,0,8,0
3718,0.001125,69.0,0,47,0
4017,0.006835,72.0,1,10,0
695,0.009396,55.8,0,5,0
2004,0.017008,36.9,0,74,1
380,0.012616,94.2,1,42,0
523,0.009037,69.7,0,7,0
4465,0.003928,23.7,0,94,0
4349,0.000257,32.2,0,32,0
1850,0.013869,92.2,0,28,0
4857,0.002418,88.7,1,80,0
2067,0.017986,40.5,1,59,0
4188,0.005452,3.8,0,8,0
4278,0.008606,4.8,1,52,0
3046,0.020632,28.4,2,47,0
1549,0.019923,62.9,0,42,0
2431,0.004645,58.4,0,17,0
2320,0.002343,63.4,0,0,0
3889,0.014923,71.7,1,23,0
2910,0.005675,1.9,1,31,0
4828,0.002132,10.5,1,20,0
1631,0.023478,35.9,0,52,0
4982,0.015141,20.9,0,161,1
3090,0.000261,7.5,1,22,0
4593,0.000205,64.1,0,34,0
1243,0.009737,81.5,0,8,0
1033,0.010837,75.3,1,36,0
1560,0.003726,81.7,0,31,0
2823,0.003857,66.6,1,40,0
2612,0.004147,73.5,0,67,0
385,0.03908,33.9,0,130,1
364,0.000599,99.3,0,13,0
2467,0.051172,32.9,0,56,1
3547,0.012868,32.6,1,51,1
1862,0.080262,28.9,0,62,0
3148,0.001882,97.5,0,24,0
2481,0.014764,98.8,1,53,0
2369,0.002528,79.5,0,15,0
140,0.000843,62.9,0,23,0
167,0.020789,52.0,0,4,0
1087,0.019572,97.1,0,13,0
4108,0.005168,69.6,2,45,0
3298,0.01212,94.5,0,20,0
4890,0.008143,31.7,0,48,0
2624,0.01917,33.4,1,15,0
1185,0.003784,85.5,2,15,0
2579,0.007416,15.0,1,19,0
1793,0.006643,94.6,0,33,0
2415,0.004368,50.7,0,27,0
878,0.022206,92.6,0,41,0
4689,0.001814,33.7,0,50,0
1685,0.001619,71.6,0,28,0
1592,0.008602,48.3,0,29,0
760,0.010715,62.7,0,57,0
1448,0.015565,56.5,0,43,1
1399,0.004955,96.7,2,8,0
4040,0.070313,77.4,0,129,1
2086,0.002832,25.1,2,36,0
2144,0.011037,91.0,1,16,0
3616,0.013476,29.4,3,36,0
1158,0.005944,37.2,0,59,0
1076,0.064085,25.2,0,58,1
4677,0.013343,90.0,0,46,0
827,0.006124,28.6,0,10,0
2627,0.008424,25.9,0,9,0
3236,0.011796,92.0,1,63,0
442,0.00897,80.6,1,26,0
1547,0.021095,14.1,0,4,0
2479,0.004414,76.9,1,29,0
3759,0.003565,91.3,0,46,0
626,0.002406,7.9,1,89,0
1996,0.000385,82.5,2,15,0
4854,0.00044,54.7,4,156,0
2173,0.020406,66.9,0,27,0
505,0.011344,49.3,0,147,0
1673,0.010804,69.8,2,15,0
4700,0.009536,3.4,0,47,0
3840,0.038735,86.2,1,121,1
4374,0.006544,3.3,0,16,0
4327,0.020434,45.5,0,46,0
1946,0.004454,15.1,1,16,0
1578,0.026133,82.4,0,11,0
2495,0.011995,31.4,1,37,0
871,0.019385,59.0,0,52,1
678,0.008303,42.9,0,57,0
3001,0.007615,77.3,0,36,0
293,0.001484,48.1,1,25,0
2107,0.008946,78.9,0,40,0
1285,0.00378,7.4,2,50,0
2494,0.000538,19.2,0,151,0
3098,0.029692,55.2,0,21,0
1892,0.010258,94.7,0,104,0
1210,0.020949,7.5,0,26,0
4105,0.011272,4.3,0,15,0
2361,0.004416,15.7,0,50,0
3836,0.007189,64.1,0,38,0
3893,0.011262,39.9,1,75,0
2036,0.066146,95.9,0,133,1
4975,0.002926,7.2,2,60,0
4457,0.057079,25.5,0,102,1
829,0.02578,30.0,0,5,0
4478,0.011099,62.7,0,56,0
3551,0.026775,68.5,0,68,0
4557,0.005073,12.4,0,69,0
4636,0.03058,94.4,1,36,0
2240,0.012133,34.1,1,28,0
1744,0.028537,83.3,1,114,1
2900,0.023738,52.4,1,51,0
241,0.051396,30.2,1,81,1
1555,0.030387,95.7,1,114,1
4896,0.008358,81.8,2,42,0
2196,0.02449,54.5,0,157,1
1425,0.006333,58.9,1,51,0
1313,0.053282,33.5,0,40,1
1259,0.000156,69.0,0,74,0
4750,0.003187,30.9,0,8,0
4599,2.5e-05,84.4,1,36,0
4797,0.005374,21.7,0,28,0
440,0.013031,1.5,2,32,0
3928,0.016033,26.9,1,52,0
2068,0.058643,25.8,2,64,1
803,0.009378,50.8,0,13,0
4513,0.002939,20.4,2,25,0
2529,0.02579,76.3,0,42,0
1900,0.014931,24.1,1,28,0
4748,0.008543,70.7,0,31,0
955,0.011895,57.8,1,46,0
1912,0.064043,100.0,0,95,1
2966,0.012462,100.0,2,47,0
3742,0.004595,87.0,1,27,0
282,0.012484,76.0,1,10,0
3212,0.000411,38.6,1,140,0
4592,0.048209,81.7,1,67,1
1617,0.053089,100.0,0,78,1
1456,0.001825,2.3,0,1,0
2274,0.000234,53.8,0,28,0
3729,0.001432,21.8,2,36,0
3728,0.010631,55.8,0,76,0
4196,0.027459,61.3,0,146,1
3339,0.058734,68.1,0,88,1
3791,0.004252,55.1,2,23,0
118,0.009147,96.0,0,46,0
3503,0.027669,55.2,0,35,0
4779,0.03749,93.9,0,87,1
4651,0.012646,32.0,1,26,0
3104,0.037375,50.4,1,52,1
1232,0.000932,47.0,0,27,0
3439,0.019751,27.9,0,53,0
3411,0.016772,38.0,0,39,0
3472,0.00034,59.9,2,44,0
1087,0.000955,58.0,0,79,0
3421,0.000504,63.6,1,43,0
4715,0.004076,35.2,0,93,0
273,0.007119,31.6,0,159,0
3841,0.0076,61.2,0,35,0
3152,0.039719,25.5,1,105,1
826,0.024258,25.3,0,34,0
3860,0.004593,4.2,0,133,0
1975,0.000466,7.3,0,34,0
4133,0.00357,24.3,0,81,0
1089,0.007574,2.0,0,41,0
3844,0.005246,24.5,1,47,0
2786,0.0032,65.5,1,10,0
519,0.001408,6.1,0,23,0
693,0.017102,43.7,0,82,0
1874,0.055584,91.3,1,27,0
2559,0.025714,93.5,0,130,1
1035,0.004807,30.5,1,18,0
3908,0.009624,92.5,1,23,0
431,0.058102,43.0,1,87,1
3549,0.004976,7.3,0,28,0
2802,0.023531,99.4,0,50,0
4106,0.00821,87.0,0,37,0
3968,0.005985,46.6,2,64,0
4300,0.010404,66.6,0,14,0
301,0.069297,73.4,0,123,1
2597,0.015826,19.4,1,45,0
1942,0.000408,20.0,0,17,0
1966,0.004039,47.0,1,50,0
2096,0.048067,99.7,0,119,1
1009,0.003776,1.0,0,19,0
4405,0.059259,92.8,1,32,1
4758,0.017502,5.8,1,59,0
3289,0.013143,47.8,0,0,0
870,0.045406,63.8,1,6,0
3255,0.003182,68.7,0,46,0
2601,0.020794,5.8,0,22,0
2814,0.056869,47.0,0,29,1
4824,0.004497,58.4,1,59,0
3685,0.013247,6.6,1,111,0
1728,0.001099,13.5,1,21,0
486,0.015575,66.4,1,26,0
3521,0.0076,52.2,0,16,0
4108,0.003457,16.2,0,29,0
4193,0.010665,53.5,1,18,0
4463,0.010262,91.3,0,49,0
2566,0.002351,1.6,1,43,0
2382,0.000309,64.3,0,52,0
1956,0.005685,7.4,0,31,0
2098,0.008428,0.6,0,25,0
1336,0.020924,15.1,1,39,0
4769,0.026341,42.3,0,19,0
4244,0.007525,80.2,2,56,0
1250,0.028526,39.4,0,141,1
4418,0.034508,73.4,0,47,1
1531,0.039267,53.1,2,143,1
1919,0.002292,23.4,0,20,0
2424,0.004637,51.4,0,12,0
1230,0.010057,79.7,0,183,0
2758,0.000183,83.2,0,41,0
3600,0.012818,84.7,0,1,0
474,0.018051,33.9,1,30,0
2220,0.005094,79.3,0,37,0
4120,0.005941,21.2,1,21,0
2121,0.019057,73.8,1,56,0
3805,0.014946,94.8,0,44,0
3359,0.003399,1.4,0,27,0
3535,0.003915,44.0,1,66,0
1989,0.023365,71.4,0,103,1
1923,0.026207,82.8,0,96,1
1574,0.00177,17.6,1,25,0
2342,0.018005,100.0,4,37,1
3343,0.023024,61.5,0,18,0
3234,0.011653,16.4,0,52,0
2170,0.042669,2.1,0,8,0
459,0.014568,78.3,1,9,0
2141,0.028469,8.0,2,106,0
1241,0.002436,14.1,0,128,0
1735,0.014762,57.5,0,60,0
4100,0.000204,60.4,0,34,0
2043,0.01111,68.7,0,29,0
4874,0.006335,39.4,0,28,0
3461,0.004258,77.4,0,43,0
3080,0.019834,97.4,1,11,0
106,0.01926,27.1,0,16,0
3367,0.000226,70.3,1,23,0
1691,0.009403,92.8,0,36,0
3364,0.046764,77.3,3,115,1
2706,0.050487,79.2,0,45,1
3319,0.01784,22.4,0,38,0
3373,0.003708,53.5,1,61,0
1013,0.028656,56.3,0,7,0
2111,0.00198,70.0,2,102,0
1542,0.023672,100.0,0,171,1
3154,0.011151,3.4,0,32,0
3646,0.002906,6.5,1,18,0
4321,0.003927,7.8,0,48,0
3028,0.018006,74.3,0,67,0
1929,0.014347,13.6,1,22,0
675,0.003991,62.2,1,31,0
1029,0.007635,32.5,0,27,0
3859,0.048564,58.6,1,91,1
3799,0.002341,21.6,1,38,0
1563,0.006652,86.6,0,3,0
3375,0.000899,58.6,2,15,0
1154,0.018536,94.5,0,11,0
